Messages,1031 Harp R
1031_HarpR_1,{Hi|Hey|Hello} var_firstname {lower|reduce} your mortgage {today|now} {2.8|2.7|2.9} rates available with this gov program. {Click|Go|Start} here {http://bitly.com/1irCYis|http://bitly.com/1OejrjT|http://bitly.com/1OejrjV|http://bitly.com/1irD0a0}
1031_HarpR_2,{Hi|Hey|Hello} var_firstname get your HARP refinance {approva1|approved} {today|now|free}.No SSN {required|needed} to qualify. {Click|Go|Start} here {http://bitly.com/1OejrjX|http://bitly.com/1Oejts4|http://bitly.com/1irD0a8|http://bitly.com/1irCYz0}
1031_HarpR_3,{Hi|Hey|Hello} var_firstname get your HARP {refinance|R3FI} approval {today|now|free}.No SSN {required|needed} to qualify. {Click|Go|Start} here {http://bitly.com/1irD0ad|http://bitly.com/1irCYz9|http://bitly.com/1OejrAp|http://bitly.com/1OejtIz}
1031_HarpR_4,{Hi|Hey|Hello} var_firstname get your HARP program approval today {2.8|2.7|2.9} rates will be {expiring|ending} soon. {Click|Go|Start} here {http://bitly.com/1OejtID|http://bitly.com/1irD0qL|http://bitly.com/1irD1Lk|http://bitly.com/1OejrQR}
1031_HarpR_5,{Hi|Hey|Hello} var_firstname get your HARP refinance {approval|approved} {today|now|free}.No SSN {required|needed} to qualify. {Go to|Visit|C1ick} {http://bitly.com/1OejrQX|http://bitly.com/1irD21J|http://bitly.com/1irD0Hb|http://bitly.com/1Oejs7j}
1031_HarpR_6,{Hi|Hey|Hello} var_firstname get your HARP program approval {today|now} {2.8|2.7|2.9} rates will be {expiring|ending} soon. {Go to|Visit|C1ick} {http://bitly.com/1irD2ii|http://bitly.com/1OejtZ6|http://bitly.com/1OejtZc|http://bitly.com/1irD2yK}
1031_HarpR_7,{Hi|Hey|Hello} var_firstname {government|govn} REFI program {extended|opened} {2.8|2.7|2.9} rates available.Qualify Today. {Go to|Visit|C1ick} {http://bitly.com/1Oejs7q|http://bitly.com/1Oejs7u|http://bitly.com/1irD2P9|http://bitly.com/1irD49K}
1031_HarpR_8,{Hi|Hey|Hello} var_firstname qualify for a {2.8|2.7|2.9} rate and save on your {mortgage|payment}.Govenment {Program|Sav1ngs}. {Go to|Visit|C1ick} {http://bitly.com/1OejufI|http://bitly.com/1OejsnV|http://bitly.com/1irD4Xg|http://bitly.com/1irD3CI}
1031_HarpR_9,{Hi|Hey|Hello} var_firstname {lower|reduce} your mortgage rate with this {simple|easy|quick} governement program. {Just|Simply} {Go|Visit} Here {http://bitly.com/1OejufI|http://bitly.com/1OejsnV|http://bitly.com/1irD4Xg|http://bitly.com/1irD3CI}
1031_HarpR_10,{Hi|Hey|Hello} var_firstname save on your mortgage today {2.8|2.7|2.9} rates {expiring|ending} soon.{Free|Gov} Program. {Just|Simply} {Go|Visit} Here {http://bitly.com/1irD4Xu|http://bitly.com/1irD3CV|http://bitly.com/1Oejso0|http://bitly.com/1Oejuw6}
1031_HarpR_11,{Hi|Hey|Hello} var_firstname get your {HARP|Govn} refinance approval {today|now|free}.No SSN {required|needed} to qualify. {Just|Simply} {Go|Visit} Here {http://bitly.com/1irD5e0|http://bitly.com/1Oejso4|http://bitly.com/1irD3Ts|http://bitly.com/1irD5ur}
1031_HarpR_12,{Hi|Hey|Hello} var_firstname {reduce|cut} your mortgage payment with {a free|this} government program.{2.8|2.7|2.9} rate. {Just|Simply} {Go|Visit} Here {http://bitly.com/1OejuMs|http://bitly.com/1OejuMu|http://bitly.com/1irD5KQ|http://bitly.com/1irD5L0}
1031_HarpR_13,{Hi|Hey|Hello} var_firstname government REFI program {extended|opened} {2.8|2.7|2.9} rates available.{Qualify|Apl1y} Today. {See|Go|C1ick} Here {http://bitly.com/1OejsEq|http://bitly.com/1irD61k|http://bitly.com/1OejuMy|http://bitly.com/1OejuMA}
1031_HarpR_14,{Hi|Hey|Hello} var_firstname save on your {mortgage|payment} with a {2.8|2.7|2.9} rate.No SSN {required|needed}.You qualify. {See|Go|C1ick} Here {http://bitly.com/1irD61w|http://bitly.com/1irD7m4|http://bitly.com/1OejsEx|http://bitly.com/1OejuMG}
1031_HarpR_15,{Hi|Hey|Hello} var_firstname {lower|reduce} your mortgage {today|now} {2.8|2.7|2.9} rates available with this gov program. {See|Go|C1ick} Here {http://bitly.com/1irD7Cx|http://bitly.com/1irD6i3|http://bitly.com/1irD7CE|http://bitly.com/1irD7SU}
1031_HarpR_16,{Hi|Hey|Hello} var_firstname government REFI program {extended|opened} {2.8|2.7|2.9} rates available.Qualify Today. {See|Go|C1ick} Here {http://bitly.com/1Oejv2Y|http://bitly.com/1OejsUR|http://bitly.com/1OejsUT|http://bitly.com/1irD7T6}
